title,link,price,area,rooms,year,elevator,parking,storage
"اپارتمان90متری2خوابه شهرک مطهری۲,۳۷۰,۰۰۰,۰۰۰ تومانآژانس مشاورین املاک نیکزاد۷",https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%8690%D9%85%D8%AA%D8%B1%DB%8C2%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B4%D9%87%D8%B1%DA%A9-%D9%85%D8%B7%D9%87%D8%B1%DB%8C/AaJmd1xl,,,,,0,0,0
"165متر3خواب -خانه رویایی -جهاد کد3619۷,۴۰۰,۰۰۰,۰۰۰ تومانکارگزاری املاک هفت خوان۲",https://divar.ir/v/165%D9%85%D8%AA%D8%B13%D8%AE%D9%88%D8%A7%D8%A8-%D8%AE%D8%A7%D9%86%D9%87-%D8%B1%D9%88%DB%8C%D8%A7%DB%8C%DB%8C-%D8%AC%D9%87%D8%A7%D8%AF-%DA%A9%D8%AF3619/AaJqQ8-c,,,,,0,0,0
"130متر2خواب - مدرن -جهاد کد3697۴,۲۴۰,۰۰۰,۰۰۰ تومانکارگزاری املاک هفت خوان۲",https://divar.ir/v/130%D9%85%D8%AA%D8%B12%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%AF%D8%B1%D9%86-%D8%AC%D9%87%D8%A7%D8%AF-%DA%A9%D8%AF3697/AaI6_Ttd,,,,,0,0,0
"۱۱ قصب / امام جمعه / دوکله ، قابل سکونت۱۹,۱۰۰,۰۰۰,۰۰۰ تومانیک ربع پیش۱",https://divar.ir/v/%DB%B1%DB%B1-%D9%82%D8%B5%D8%A8-%D8%A7%D9%85%D8%A7%D9%85-%D8%AC%D9%85%D8%B9%D9%87-%D8%AF%D9%88%DA%A9%D9%84%D9%87-%D9%82%D8%A7%D8%A8%D9%84-%D8%B3%DA%A9%D9%88%D9%86%D8%AA/AaJi9ISZ,,,,,0,0,0
"فروش زمین کوهپایه انارستان ۶۲۵ متر۹۴۵,۰۰۰,۰۰۰ توماننردبان شده۲",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%B2%D9%85%DB%8C%D9%86-%DA%A9%D9%88%D9%87%D9%BE%D8%A7%DB%8C%D9%87-%D8%A7%D9%86%D8%A7%D8%B1%D8%B3%D8%AA%D8%A7%D9%86-%DB%B6%DB%B2%DB%B5-%D9%85%D8%AA%D8%B1/Aa15vSpT,,,,,0,0,0
"فروش آپارتمان ۱۰۵ /بلوار جهاد/کلید نخورده/بدون وقف۳,۷۸۰,۰۰۰,۰۰۰ توماننردبان شدهمشاور محمدامیرسیدی۱",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B0%DB%B5-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%D9%87%D8%A7%D8%AF-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D8%A8%D8%AF%D9%88%D9%86-%D9%88%D9%82%D9%81/AaGO0xOJ,,,,,0,0,0
"فروش خانه ویلایی ۳۸۰ متری ۴ خوابه، شهرک الهیه۷,۵۰۰,۰۰۰,۰۰۰ توماننردبان شده۲",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B3%DB%B8%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B4-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B4%D9%87%D8%B1%DA%A9-%D8%A7%D9%84%D9%87%DB%8C%D9%87/AaEOvc1s,,,,,0,0,0
"فروش آپارتمان ۱۲۰ متری ۲ خوابه/خیابان ۲۰ متری نادر۷,۳۰۰,۰۰۰,۰۰۰ توماننردبان شدهمشاور محمدامیرسیدی۱",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B2%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%DB%B2%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D9%86%D8%A7%D8%AF%D8%B1/Aa3J1w0F,,,,,0,0,0
"آپارتمان 70 و 170 متری در بهترین نقطه بلوار جمهوری۲,۶۰۰,۰۰۰,۰۰۰ توماننردبان شده۱",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-70-%D9%88-170-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86-%D9%86%D9%82%D8%B7%D9%87-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C/AaOhYI-E,,,,,0,0,0
"فروش آپارتمان ۱۱۴ متری /بلوار جهاد/بدون وقف۴,۵۶۰,۰۰۰,۰۰۰ توماننردبان شدهمشاور محمدامیرسیدی۵",https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B1%DB%B4-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%D9%87%D8%A7%D8%AF-%D8%A8%D8%AF%D9%88%D9%86-%D9%88%D9%82%D9%81/Aa15Shau,,,,,0,0,0
